date_start,date_end,timedelta_lr
2019-12-12 13:00:00,2019-12-14 08:00:00,1D
2019-12-16 05:00:00,2019-12-17 16:00:00,1.5D
2019-12-29 08:00:00,2019-12-31 06:00:00,1D
2019-12-31 19:00:00,2020-01-01 10:00:00,0.5D
2020-01-01 19:00:00,2020-01-03 06:00:00,0.4D
2020-01-03 17:00:00,2020-01-04 10:00:00,0.5D
2020-01-05 06:00:00,2020-01-05 15:00:00,0.3D
2020-01-06 10:00:00,2020-01-07 13:00:00,1D
2020-01-08 06:00:00,2020-01-10 06:00:00,1D
2020-01-14 01:00:00,2020-01-18 07:00:00,4D
2020-01-28 23:00:00,2020-01-31 05:00:00,1D
2020-02-06 21:00:00,2020-02-07 05:00:00,0.5D
2020-02-14 20:00:00,2020-02-18 18:00:00,2D
2020-02-20 13:00:00,2020-02-23 05:00:00,1D
2020-02-25 15:00:00,2020-02-27 15:00:00,1D
2020-03-12 06:00:00,2020-03-15 06:00:00,1D
2020-03-18 12:00:00,2020-03-21 04:00:00,2.5D
2020-03-30 15:00:00,2020-04-02 01:00:00,1.5D
2020-04-03 17:00:00,2020-04-05 16:00:00,1.5D
2020-04-07 16:00:00,2020-04-09 16:00:00,1D
2020-04-14 15:00:00,2020-04-22 09:00:00,4D
2020-04-26 02:00:00,2020-04-28 04:00:00,0.8D
2020-04-28 23:00:00,2020-05-07 02:00:00,1D
2020-05-15 20:00:00,2020-05-18 11:00:00,1.5D
2020-05-19 23:00:00,2020-05-22 02:00:00,1D
2020-05-23 06:00:00,2020-05-23 20:00:00,1D
2020-05-25 12:00:00,2020-06-01 01:00:00,2.5D
2020-06-03 20:00:00,2020-06-07 06:00:00,3D
2020-12-17 06:00:00,2020-12-18 05:00:00,2D
2020-12-20 22:00:00,2020-12-24 02:00:00,2D
2021-01-02 15:00:00,2021-01-06 22:00:00,2D
2021-01-13 08:00:00,2021-01-18 02:00:00,1D
2021-02-09 04:00:00,2021-02-11 22:00:00,2D
2021-02-13 22:00:00,2021-02-16 17:00:00,2D
2021-02-26 06:00:00,2021-02-28 06:00:00,1D
2021-03-17 16:00:00,2021-03-25 22:00:00,2D
2021-03-29 01:00:00,2021-04-04 08:00:00,1D
2021-04-08 00:00:00,2021-04-10 20:00:00,0.8D
2021-04-13 10:00:00,2021-04-25 08:00:00,3D
2021-05-01 03:00:00,2021-05-03 08:00:00,1D
2021-05-05 05:00:00,2021-05-07 19:00:00,2D
2021-05-10 16:00:00,2021-05-12 17:00:00,2D
2021-05-17 00:00:00,2021-05-20 00:00:00,1D
2021-06-06 05:00:00,2021-06-08 04:00:00,1D
2021-12-01 23:00:00,2021-12-04 23:00:00,2D
2021-12-27 02:00:00,2021-12-31 00:00:00,3D
2022-01-19 04:00:00,2022-01-20 07:00:00,1D
2022-01-22 02:00:00,2022-01-26 11:00:00,1D
2022-02-02 16:00:00,2022-02-05 05:00:00,2D
2022-02-08 19:00:00,2022-02-11 07:00:00,2D
2022-03-18 03:00:00,2022-03-20 03:00:00,2.5D
2022-04-09 02:00:00,2022-04-14 08:00:00,3D